12        全球变化与海气相互作用21          xx所        某洋南部  GASI-02-IND-STSsum            海测330120160721135901-0800  102   路人甲                   GPS探空仪 CF-06-A
22STC083  120160721140239 073055.58S 1043103.36E  6  717.401-9-9.99 23.982  932.122  62.001  10.792 327.101 
22STC083  120160721140240 073055.91S 1043103.58E  6  720.701-9-9.99 23.972  931.772  61.801  10.812 327.101 
22STC083  120160721140241 073056.23S 1043103.80E  6  723.901-9-9.99 23.962  931.432  61.601  10.832 327.001 
22STC083  120160721140242 073056.56S 1043104.00E  6  727.101-9-9.99 23.952  931.102  61.501  10.852 327.001 
22STC083  120160721140243 073056.88S 1043104.19E  6  730.401-9-9.99 23.932  930.752  61.401  10.872 326.901 
22STC083  120160721140244 073057.13S 1043104.38E  6  733.801-9-9.99 23.902  930.392  61.401  10.882 326.801 
22STC083  120160721140245 073057.42S 1043104.54E  6  737.401-9-9.99 23.872  930.012  61.301  10.902 326.801 
22STC083  120160721140246 073057.71S 1043104.76E  6  741.201-9-9.99 23.842  929.602  61.201  10.912 326.701 
22STC083  120160721140247 073058.03S 1043104.98E  6  745.101-9-9.99 23.822  929.192  60.901  10.932 326.701 
22STC083  120160721140248 073058.36S 1043105.20E  6  749.201-9-9.99 23.802  928.762  60.701  10.942 326.601 
22STC083  120160721140249 073058.68S 1043105.45E  6  753.201-9-9.99 23.792  928.332  60.401  10.962 326.601 
22STC083  120160721140250 073059.00S 1043105.67E  6  757.201-9-9.99 23.772  927.912  60.301  10.982 326.601 
22STC083  120160721140251 073059.33S 1043105.89E  6  761.001-9-9.99 23.762  927.512  60.201  10.992 326.601 
22STC083  120160721140252 073059.62S 1043106.08E  6  764.601-9-9.99 23.742  927.132  60.201  11.002 326.601 
22STC083  120160721140253 073059.94S 1043106.30E  6  768.201-9-9.99 23.712  926.742  60.201  11.022 326.601 
22STC083  120160721140254 073100.26S 1043106.49E  6  771.901-9-9.99 23.682  926.362  60.301  11.032 326.601 
22STC083  120160721140255 073100.59S 1043106.66E  6  775.601-9-9.99 23.652  925.972  60.501  11.052 326.701 
22STC083  120160721140256 073100.88S 1043106.88E  6  779.301-9-9.99 23.622  925.572  60.801  11.072 326.701 
